instant,dteday,season,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,Total_amount_of_rentals,season_names,weekday_names,month_names,year,time_of_day
1,1/1/11,1,1,0,0,6,1,0.24,0.2879,0.81,0,3,13,16,Winter,Saturday,January,2011,Night
2,1/1/11,1,1,1,0,6,1,0.22,0.2727,0.8,0,8,32,40,Winter,Saturday,January,2011,Night
3,1/1/11,1,1,2,0,6,1,0.22,0.2727,0.8,0,5,27,32,Winter,Saturday,January,2011,Night
4,1/1/11,1,1,3,0,6,1,0.24,0.2879,0.75,0,3,10,13,Winter,Saturday,January,2011,Night
5,1/1/11,1,1,4,0,6,1,0.24,0.2879,0.75,0,0,1,1,Winter,Saturday,January,2011,Night
6,1/1/11,1,1,5,0,6,2,0.24,0.2576,0.75,0.0896,0,1,1,Winter,Saturday,January,2011,Morning
7,1/1/11,1,1,6,0,6,1,0.22,0.2727,0.8,0,2,0,2,Winter,Saturday,January,2011,Morning
8,1/1/11,1,1,7,0,6,1,0.2,0.2576,0.86,0,1,2,3,Winter,Saturday,January,2011,Morning
9,1/1/11,1,1,8,0,6,1,0.24,0.2879,0.75,0,1,7,8,Winter,Saturday,January,2011,Morning
10,1/1/11,1,1,9,0,6,1,0.32,0.3485,0.76,0,8,6,14,Winter,Saturday,January,2011,Morning
11,1/1/11,1,1,10,0,6,1,0.38,0.3939,0.76,0.2537,12,24,36,Winter,Saturday,January,2011,Morning
12,1/1/11,1,1,11,0,6,1,0.36,0.3333,0.81,0.2836,26,30,56,Winter,Saturday,January,2011,Morning
13,1/1/11,1,1,12,0,6,1,0.42,0.4242,0.77,0.2836,29,55,84,Winter,Saturday,January,2011,Afternoon
14,1/1/11,1,1,13,0,6,2,0.46,0.4545,0.72,0.2985,47,47,94,Winter,Saturday,January,2011,Afternoon
15,1/1/11,1,1,14,0,6,2,0.46,0.4545,0.72,0.2836,35,71,106,Winter,Saturday,January,2011,Afternoon
16,1/1/11,1,1,15,0,6,2,0.44,0.4394,0.77,0.2985,40,70,110,Winter,Saturday,January,2011,Afternoon
17,1/1/11,1,1,16,0,6,2,0.42,0.4242,0.82,0.2985,41,52,93,Winter,Saturday,January,2011,Afternoon
18,1/1/11,1,1,17,0,6,2,0.44,0.4394,0.82,0.2836,15,52,67,Winter,Saturday,January,2011,Evening
19,1/1/11,1,1,18,0,6,3,0.42,0.4242,0.88,0.2537,9,26,35,Winter,Saturday,January,2011,Evening
20,1/1/11,1,1,19,0,6,3,0.42,0.4242,0.88,0.2537,6,31,37,Winter,Saturday,January,2011,Evening
